epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,5038.68,0.91868,0.63016,0.978,0.62136,0.50762,0.53271,0.36515,1.00556,0.74218,1.02138,0.007954,0.007954,0.007954
64,5118.36,0.91246,0.62067,0.97577,0.50879,0.57424,0.54228,0.37968,1.00918,0.74608,1.02182,0.007921,0.007921,0.007921
65,5198.09,0.90921,0.62091,0.97543,0.53105,0.52266,0.52834,0.36288,1.01215,0.7529,1.02539,0.007888,0.007888,0.007888
66,5277.61,0.90994,0.61561,0.97622,0.51583,0.54318,0.52951,0.36603,1.02534,0.75192,1.03326,0.007855,0.007855,0.007855
67,5357.38,0.90674,0.61102,0.97616,0.53878,0.5192,0.51696,0.35558,1.01017,0.74879,1.02891,0.007822,0.007822,0.007822
68,5436.94,0.90859,0.61684,0.97752,0.50832,0.55047,0.53863,0.37442,1.01386,0.74854,1.02583,0.007789,0.007789,0.007789
69,5516.52,0.90038,0.61134,0.97479,0.50496,0.54326,0.52603,0.35893,1.017,0.74937,1.02748,0.007756,0.007756,0.007756
70,5596.1,0.90412,0.61048,0.97097,0.56785,0.54291,0.54011,0.37076,1.00764,0.74096,1.02342,0.007723,0.007723,0.007723
71,5675.73,0.89986,0.60596,0.97207,0.56923,0.53234,0.52845,0.3702,1.01444,0.75408,1.02834,0.00769,0.00769,0.00769
72,5755.38,0.89237,0.6046,0.97153,0.51937,0.54759,0.55462,0.37578,1.00205,0.74278,1.01962,0.007657,0.007657,0.007657
73,5834.94,0.89387,0.59886,0.96844,0.45992,0.58171,0.54912,0.3764,1.0135,0.75236,1.02948,0.007624,0.007624,0.007624
74,5914.67,0.89089,0.59709,0.96907,0.53401,0.49948,0.53236,0.35764,1.01487,0.76464,1.03371,0.007591,0.007591,0.007591
75,5994.33,0.8851,0.58789,0.9638,0.53836,0.52857,0.52581,0.36002,1.01728,0.75483,1.03092,0.007558,0.007558,0.007558
76,6074.11,0.88602,0.58714,0.96578,0.55301,0.49446,0.5315,0.36342,1.01371,0.7588,1.0283,0.007525,0.007525,0.007525
77,6153.65,0.87924,0.5859,0.96367,0.48354,0.5778,0.54498,0.37602,1.00671,0.74799,1.0287,0.007492,0.007492,0.007492
78,6233.38,0.87895,0.58331,0.96091,0.51111,0.53966,0.53901,0.37345,1.01388,0.74932,1.02843,0.007459,0.007459,0.007459
79,6313.03,0.87856,0.57941,0.9615,0.48817,0.58879,0.55075,0.38143,1.01015,0.73723,1.0259,0.007426,0.007426,0.007426
80,6392.58,0.87356,0.57685,0.95688,0.52913,0.50988,0.54059,0.36932,1.01803,0.75041,1.02996,0.007393,0.007393,0.007393
81,6472.06,0.87846,0.57639,0.96498,0.52443,0.52624,0.52906,0.36397,1.0145,0.76205,1.03235,0.00736,0.00736,0.00736
