epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2719.75,1.19947,0.94473,1.13614,0.64277,0.45291,0.44321,0.26934,1.186,0.89182,1.03219,0.007195,0.007195,0.007195
87,2751.94,1.19862,0.95092,1.13664,0.69453,0.40096,0.43415,0.27259,1.17622,0.88877,1.03032,0.007162,0.007162,0.007162
88,2783.36,1.19709,0.94535,1.13334,0.56955,0.44674,0.47048,0.29307,1.17039,0.87172,1.02934,0.007129,0.007129,0.007129
89,2815.5,1.19868,0.95008,1.13292,0.62302,0.43602,0.45668,0.28321,1.1873,0.88776,1.03352,0.007096,0.007096,0.007096
90,2847.28,1.19845,0.94792,1.13506,0.56208,0.4386,0.4869,0.30371,1.15025,0.87633,1.02343,0.007063,0.007063,0.007063
91,2879.32,1.19874,0.93829,1.13066,0.50135,0.47655,0.46755,0.29035,1.17293,0.87815,1.02598,0.00703,0.00703,0.00703
92,2910.72,1.19576,0.94804,1.13417,0.55865,0.43333,0.47451,0.29457,1.17892,0.88058,1.02848,0.006997,0.006997,0.006997
93,2943.1,1.194,0.9374,1.13288,0.52738,0.479,0.45845,0.28828,1.17559,0.88176,1.02987,0.006964,0.006964,0.006964
94,2975.69,1.19427,0.93907,1.13273,0.49123,0.47858,0.47571,0.30399,1.17667,0.87001,1.02663,0.006931,0.006931,0.006931
95,3006.86,1.19181,0.94329,1.13575,0.56632,0.43789,0.47959,0.30263,1.17515,0.86756,1.02901,0.006898,0.006898,0.006898
96,3038.81,1.18744,0.93544,1.13127,0.57451,0.43536,0.48216,0.30599,1.16084,0.87305,1.02543,0.006865,0.006865,0.006865
97,3071.67,1.18941,0.93963,1.12823,0.51067,0.47893,0.44981,0.28078,1.17069,0.88452,1.02616,0.006832,0.006832,0.006832
98,3102.74,1.18914,0.94028,1.13499,0.41356,0.50985,0.45799,0.28528,1.1711,0.88433,1.02857,0.006799,0.006799,0.006799
99,3134.02,1.19127,0.94335,1.13398,0.54986,0.46827,0.49141,0.30308,1.15074,0.87606,1.02197,0.006766,0.006766,0.006766
100,3166.39,1.18279,0.93356,1.12851,0.59615,0.41733,0.47119,0.29484,1.17042,0.86849,1.02868,0.006733,0.006733,0.006733
101,3197.19,1.1981,0.94253,1.13642,0.64555,0.42705,0.48929,0.30332,1.15466,0.87195,1.02542,0.0067,0.0067,0.0067
102,3228.41,1.18572,0.93205,1.12602,0.5863,0.45542,0.48241,0.30022,1.17813,0.8742,1.0274,0.006667,0.006667,0.006667
