epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,10767.7,0.92935,0.62057,1.02134,0.5507,0.56763,0.556,0.37472,1.08987,0.78054,1.0229,0.007558,0.007558,0.007558
76,10911,0.92846,0.61749,1.01843,0.55444,0.54606,0.54692,0.37342,1.0947,0.77818,1.02675,0.007525,0.007525,0.007525
77,11054.2,0.92322,0.6135,1.01909,0.52869,0.54505,0.54708,0.37665,1.09185,0.7744,1.02239,0.007492,0.007492,0.007492
78,11197.6,0.91924,0.61011,1.01591,0.57223,0.5639,0.56045,0.37636,1.09814,0.77938,1.02061,0.007459,0.007459,0.007459
79,11340.9,0.92532,0.61255,1.01602,0.57007,0.55444,0.55688,0.37878,1.09503,0.76881,1.01857,0.007426,0.007426,0.007426
80,11484,0.91671,0.60755,1.01297,0.53513,0.57864,0.54924,0.37184,1.09162,0.77088,1.01712,0.007393,0.007393,0.007393
81,11626.9,0.90944,0.60357,1.01325,0.521,0.57055,0.54883,0.37085,1.08694,0.76989,1.01942,0.00736,0.00736,0.00736
82,11770.2,0.91548,0.60548,1.01273,0.55854,0.57101,0.54508,0.37101,1.08911,0.7701,1.01976,0.007327,0.007327,0.007327
83,11913.4,0.90764,0.59918,1.00685,0.56571,0.5465,0.55313,0.3718,1.0989,0.77547,1.02538,0.007294,0.007294,0.007294
84,12056.7,0.90683,0.59837,1.0067,0.53877,0.57112,0.55805,0.37582,1.10302,0.77105,1.02521,0.007261,0.007261,0.007261
85,12199.7,0.90707,0.59993,1.01194,0.55994,0.5679,0.55775,0.37327,1.09793,0.77336,1.02374,0.007228,0.007228,0.007228
